# === Measurement Header ===
# Radar Frequency: 13GHz
# Site Name: fortress_mnetalplate
# Radar Angle: 15
# Measurement ID: 1
# Polarization: v
# Timestamp: 2025-01-17T16:19:16.461921
# Device Number: 500230001
# Frontend Connected: 4262658049
# Firmware Version: 66821
# Firmware Revision: 129043
# Firmware Date: 420087783
# Min Frequency: 12500000
# Max Frequency: 14500000
# Signal Type: 3
# TX Channel Selection: 1
# RX Channel Selection: 15
# TX Power Setting: 15
# RX Power Setting: 0
# Ramp Init: 1000
# Ramp Time: 102400
# Ramp Reset: 27100
# Ramp Delay: 0
# Sensor temperature: {'FeSensor_1': 22, 'FeSensor_2': 96095, 'FeSensor_3': 19010, 'FeSensor_4': 1628}
# Radar Cube: 2
# Processing: 1
# Range Window Function: 2
# Min Range Bin: 0
# Max Range Bin: 1023
# Trigger Threshold: 90
# RX Channels: 15
# ==========================

# Comments: 
# ==========================

# Chirp Number: 1
# Timestamp: 2025-01-17T16:19:16.461950
1232, -882, -1022, -1330
426, -954, -1328, -1170
-284, -762, -1624, -930
-802, -354, -1980, -646
-1080, 200, -2390, -300
-1076, 776, -2834, 166
-910, 1352, -3244, 864
-588, 1766, -3398, 1668
-212, 2044, -3278, 2500
294, 2124, -2926, 3208
804, 2040, -2414, 3724
1270, 1852, -1726, 4038
1666, 1490, -928, 4088
1940, 1068, -172, 3810
2100, 636, 518, 3328
2164, 204, 1014, 2682
2058, -186, 1298, 1980
1840, -500, 1248, 1244
1492, -694, 968, 712
1120, -822, 588, 494
756, -824, 126, 486
416, -776, -282, 700
62, -634, -584, 1060
-232, -330, -682, 1506
-402, 34, -624, 1952
-482, 402, -408, 2354
-422, 768, -30, 2606
-248, 1096, 356, 2560
-14, 1240, 724, 2364
286, 1370, 1096, 2090
634, 1376, 1412, 1812
996, 1306, 1632, 1430
1290, 1136, 1724, 1006
1488, 868, 1756, 666
1646, 580, 1742, 374
1716, 238, 1646, 62
1606, -50, 1518, -192
1460, -294, 1296, -348
1262, -470, 1048, -436
988, -500, 826, -480
734, -420, 528, -432
524, -300, 310, -436
404, -158, 70, -370
324, -20, -142, -214
262, 120, -328, 2
212, 244, -540, 278
186, 364, -710, 632
194, 492, -768, 966
268, 724, -760, 1330
370, 946, -576, 1690
554, 1120, -272, 1888
880, 1208, 76, 2004
1288, 1208, 524, 1960
1698, 1028, 1022, 1730
1912, 716, 1374, 1324
2186, 288, 1640, 836
2294, -166, 1732, 346
2128, -572, 1630, -120
1808, -874, 1374, -506
1410, -1004, 994, -754
1026, -992, 534, -858
664, -852, -24, -736
386, -598, -482, -460
250, -300, -824, -30
254, -26, -1010, 542
312, 186, -994, 1034
396, 340, -810, 1330
550, 476, -552, 1522
724, 538, -276, 1596
928, 588, -54, 1556
1146, 546, 50, 1484
1376, 458, 112, 1422
1626, 312, 140, 1410
1828, 104, 138, 1408
1904, -148, 152, 1388
1886, -442, 176, 1400
1776, -744, 198, 1394
1596, -982, 278, 1404
1368, -1168, 312, 1354
1008, -1242, 336, 1276
628, -1210, 282, 1316
322, -1044, 134, 1420
20, -794, -40, 1682
-176, -504, -138, 2062
-268, -120, -136, 2488
-310, 194, 112, 2898
-184, 512, 624, 3268
24, 826, 1346, 3506
352, 1058, 2286, 3458
732, 1140, 3206, 3054
1104, 1078, 3824, 2270
1408, 946, 4248, 1292
1714, 724, 4484, 294
2098, 382, 4652, -756
2296, -48, 4502, -1646
2262, -464, 4026, -2300
2120, -884, 3414, -2786
1888, -1224, 2748, -3008
1490, -1374, 1948, -2952
994, -1424, 1290, -2712
554, -1328, 732, -2382
190, -1082, 304, -2114
-132, -738, 26, -1794
-310, -326, -238, -1460
-308, 120, -438, -1098
-172, 508, -514, -768
78, 810, -550, -452
466, 1000, -528, -164
944, 1082, -400, 90
1370, 978, -188, 230
1696, 734, 94, 242
1924, 406, 360, 116
2038, 32, 580, -142
2138, -388, 648, -552
2132, -758, 526, -966
1976, -940, 214, -1308
1656, -972, -242, -1456
1392, -968, -806, -1358
1216, -1018, -1496, -1090
1112, -1062, -2262, -630
1030, -1106, -2960, 154
936, -1166, -3394, 1138
796, -1230, -3460, 2156
628, -1182, -3184, 3096
418, -1068, -2590, 3910
114, -914, -1710, 4526
-188, -634, -702, 4830
-346, -270, 390, 4774
-340, 156, 1354, 4334
-144, 534, 2276, 3764
264, 822, 3076, 3098
798, 918, 3596, 2260
1266, 790, 3916, 1372
1702, 462, 4132, 470
2024, 6, 4088, -368
2102, -538, 3870, -1138
1966, -966, 3434, -1786
1666, -1228, 2762, -2278
1284, -1350, 1952, -2504
904, -1250, 1058, -2418
700, -1060, 146, -2054
540, -820, -612, -1420
476, -658, -1182, -624
552, -686, -1506, 330
596, -756, -1464, 1336
558, -842, -1110, 2198
440, -884, -410, 2842
274, -852, 714, 3262
82, -666, 1950, 3252
-80, -328, 3180, 2744
-64, 70, 4322, 1782
62, 378, 5114, 572
466, 572, 5670, -902
996, 604, 5862, -2436
1504, 380, 5534, -3834
1884, -52, 4746, -5024
1998, -614, 3508, -5744
1850, -1140, 2046, -5900
1466, -1486, 534, -5736
1020, -1726, -972, -5324
528, -1772, -2328, -4524
34, -1534, -3266, -3344
-350, -1182, -3732, -2054
-590, -732, -3750, -776
-628, -274, -3456, 362
-516, 164, -2824, 1126
-252, 474, -1990, 1436
152, 642, -1088, 1386
590, 696, -310, 1000
1036, 562, 234, 362
1436, 324, 476, -426
1728, -12, 332, -1132
1844, -336, -118, -1620
1800, -650, -766, -1828
1702, -936, -1550, -1794
1592, -1240, -2358, -1522
1414, -1532, -3176, -1034
1218, -1736, -3908, -330
920, -1866, -4510, 556
636, -1904, -4924, 1606
286, -1882, -5092, 2708
-130, -1698, -4928, 3746
-466, -1434, -4542, 4834
-694, -1090, -3928, 6098
-866, -734, -2950, 7376
-864, -382, -1538, 8036
-722, -24, 264, 8248
-466, 222, 2396, 8034
-78, 330, 4518, 7228
304, 362, 6752, 5954
618, 238, 8524, 4116
810, 58, 9202, 1982
960, -124, 9282, -234
1066, -360, 9058, -2380
1090, -616, 8486, -4302
1088, -870, 7558, -5944
1078, -1078, 6138, -7050
994, -1216, 4348, -7468
874, -1392, 2494, -7332
668, -1588, 720, -6682
314, -1690, -764, -5608
-82, -1624, -1762, -4228
-488, -1448, -2276, -2832
-934, -1194, -2352, -1740
-1252, -734, -2044, -860
-1350, -198, -1442, -292
-1254, 290, -646, -124
-888, 660, 258, -332
-344, 878, 994, -930
248, 828, 1494, -1778
846, 664, 1616, -2762
1234, 320, 1298, -3592
1418, -150, 584, -4110
1450, -664, -512, -4578
1324, -1202, -1918, -4850
1016, -1578, -3420, -4638
538, -1724, -4820, -3868
-24, -1670, -5966, -2676
-434, -1394, -6708, -1188
-696, -1002, -7060, 382
-782, -608, -7156, 2046
-732, -334, -7046, 3752
-574, -124, -6328, 5192
-322, -38, -5080, 6206
-116, -18, -3560, 6938
52, -72, -1790, 7130
126, -182, 50, 6756
138, -300, 1802, 6038
68, -330, 3426, 4958
-30, -250, 4922, 3548
-38, -66, 5838, 1782
88, 110, 5908, -66
328, 206, 5386, -1814
668, 212, 4342, -3208
1030, -46, 2874, -4120
1318, -418, 1212, -4442
1362, -916, -536, -4188
1240, -1390, -2178, -3380
894, -1780, -3554, -2132
368, -1956, -4416, -520
-290, -1930, -4738, 1274
-900, -1670, -4564, 3102
-1300, -1202, -3702, 4652
-1388, -672, -2272, 5398
-1174, -208, -670, 5536
-862, 112, 1048, 5224
-540, 278, 2668, 4506
-230, 258, 3966, 3534
64, 120, 5000, 2328
232, -84, 5756, 990
298, -246, 5940, -340
200, -410, 5802, -1598
84, -504, 5444, -2832
10, -460, 4758, -3888
-44, -438, 3796, -4526
-70, -406, 2618, -4756
-84, -410, 1410, -4772
-68, -448, 242, -4454
-80, -468, -798, -3914
-198, -472, -1658, -3256
-290, -406, -2322, -2438
-322, -322, -2674, -1522
-320, -196, -2686, -614
-244, -18, -2388, 180
-46, 54, -1728, 786
154, -12, -856, 1090
300, -132, 86, 992
348, -296, 1018, 486
332, -488, 1710, -324
200, -638, 2054, -1360
-16, -700, 2008, -2594
-214, -596, 1440, -3642
-354, -430, 450, -4370
-388, -230, -918, -4784
-328, -36, -2552, -4708
-154, 56, -4212, -4172
40, 42, -5812, -3164
184, -14, -6976, -1698
268, -166, -7838, 106
272, -308, -8468, 2154
228, -396, -8344, 4138
152, -426, -7398, 5820
124, -400, -6004, 7230
114, -342, -4208, 8332
84, -286, -2118, 8878
84, -236, 188, 8828
122, -200, 2412, 8058
278, -190, 4130, 6596
388, -298, 5344, 4812
468, -432, 6178, 2960
484, -600, 6406, 1168
