pit_id,site,SWE_mm,timestamp
D10,Fortress Ridge South Met,254.61000061035156,2024-12-01T02:30:00
D11,Sloegin,59.3699951171875,2024-12-02T10:00:00
D2,Old parking,44.88999938964844,2024-11-27T14:00:00
D3,half pipe,50.36000061035156,2024-11-28T11:25:00
D4,Canadian Chair,59.48999786376953,2024-11-28T13:20:00
D5,farside chair,177.6199951171875,2024-11-29T13:20:00
D6,Fortress ridge Drift,327.91998291015625,2024-11-29T13:45:00
D7,Bonsai,104.01000213623047,2024-11-30T10:15:00
D8,Fortress Ridge Met,45.70000076293945,2024-12-01T12:15:00
D9,Fortress Ridge Bush,86.0,2024-12-01T01:15:00
F1,Pitchfork,200.72999572753906,2025-11-25T12:00:00
F2,Old lodge undisturbed,0.0,2025-02-26T10:15:00
F3,Bonsai undisturbed,0.0,2025-02-26T13:00:00
F4,Fortress Ridge South undisturbed,0.0,2025-02-26T16:30:00
F5,Ku Near,92.63999938964844,2025-02-27T09:30:00
F6,Half-pipe ridge,97.75,2025-02-27T12:30:00
F7,Drift,867.8499755859375,2025-02-28T09:30:00
F8,Shrubby,191.24998474121094,2025-03-01T08:30:00
F9,Alternate Forest,217.55999755859375,2025-03-01T11:00:00
J1,Old Lodge,107.1300048828125,2025-01-14T10:56:00
J10,Aerial 2,162.9499969482422,2025-01-19T00:00:00
J11,Canadian Ridge Met,264.2699890136719,2025-01-20T00:00:00
J2,Half Pipe,99.12000274658203,2025-01-14T14:20:00
J3,Bonsai,152.30999755859375,2025-01-15T10:05:00
J4,Alt Forest,142.9600067138672,2025-01-15T12:53:00
J5,Fortress Drift,811.2770385742188,2024-01-17T00:00:00
J6,Shruby,149.6300048828125,2025-01-18T00:00:00
J7,Aerial 1,105.12000274658203,2025-01-19T09:57:00
J8,Half-Pipe Radar,51.540000915527344,2025-01-19T11:31:00
NW corner of box,Old Lodge,64.13999938964844,2024-11-27T12:00:00
