# === Measurement Header ===
# Radar Frequency: 13GHz
# Site Name: 
# Radar Angle: 
# Measurement ID: 1
# Polarization: 
# Timestamp: 2025-07-15T15:43:37.281227
# Device Number: 500230001
# Frontend Connected: 4262658049
# Firmware Version: 66821
# Firmware Revision: 129043
# Firmware Date: 420087783
# Min Frequency: 12500000
# Max Frequency: 14500000
# Signal Type: 3
# TX Channel Selection: 1
# RX Channel Selection: 15
# TX Power Setting: 15
# RX Power Setting: 0
# Ramp Init: 1000
# Ramp Time: 102400
# Ramp Reset: 27100
# Ramp Delay: 0
# Sensor temperature: {'FeSensor_1': 52, 'FeSensor_2': 100660, 'FeSensor_3': 17024, 'FeSensor_4': 1443}
# Radar Cube: 2
# Processing: 1
# Range Window Function: 2
# Min Range Bin: 0
# Max Range Bin: 1023
# Trigger Threshold: 90
# RX Channels: 15
# ==========================

# Comments: 
# ==========================

# Chirp Number: 1
# Timestamp: 2025-07-15T15:43:37.281298
70, 2438, 8590, 5408
428, 2290, 9320, 3130
782, 2048, 9352, 804
1104, 1760, 9048, -1294
1402, 1436, 8664, -2994
1590, 1080, 8306, -4584
1626, 894, 8186, -6196
1812, 846, 8176, -8002
1978, 632, 7622, -9766
1972, 380, 6568, -11090
1922, 220, 5148, -12208
1936, 72, 3272, -13520
1892, -200, 692, -13948
1716, -408, -2462, -13214
1486, -496, -5506, -11514
1266, -512, -7734, -9096
1164, -444, -9162, -6610
1182, -448, -10122, -4308
1182, -502, -11170, -2242
1200, -530, -12104, -40
1144, -614, -12314, 2278
1024, -624, -11760, 4570
956, -594, -10846, 6664
970, -570, -9642, 8416
946, -698, -7958, 9510
834, -788, -6110, 9906
720, -788, -4378, 9668
606, -774, -3210, 9368
450, -756, -2380, 9106
364, -642, -1500, 8976
276, -600, -388, 8616
136, -572, 576, 7802
58, -490, 1232, 7028
8, -422, 1656, 6406
-50, -330, 1960, 5816
-60, -290, 2390, 5410
-48, -276, 3018, 5078
-156, -234, 3550, 4576
-320, -98, 3476, 4118
-388, 88, 3254, 4038
-466, 296, 3538, 3970
-440, 458, 4020, 3620
-346, 490, 4378, 3086
-306, 606, 4400, 2688
-212, 692, 4476, 2378
-216, 784, 4698, 2130
-170, 962, 5272, 1812
-100, 1084, 5676, 1364
-4, 1264, 5874, 1110
176, 1364, 6446, 786
392, 1526, 7422, 78
634, 1564, 8008, -1056
774, 1456, 7972, -2030
898, 1356, 7690, -2848
1046, 1300, 7648, -3766
1382, 1364, 7970, -5084
1746, 1266, 8198, -6788
2034, 1156, 7988, -8402
2318, 920, 7204, -9722
2382, 532, 6048, -10382
2386, 240, 4656, -11102
2344, -68, 2824, -11644
2364, -400, 878, -11984
2390, -744, -1448, -12230
2232, -1026, -3644, -12000
1996, -1124, -5560, -11414
1764, -1160, -7628, -10336
1622, -1240, -10244, -8704
1458, -1308, -12486, -6388
1168, -1266, -13486, -3718
948, -1122, -14100, -994
810, -1064, -14954, 2020
686, -1026, -15640, 5424
606, -844, -15344, 8698
734, -802, -14236, 11772
858, -894, -12222, 14334
918, -1010, -9474, 15500
822, -1042, -6658, 15464
686, -1028, -4150, 15200
582, -1042, -1690, 14812
482, -1036, 460, 13660
350, -1032, 2368, 12362
238, -1050, 4296, 11082
46, -1036, 6112, 9716
-150, -942, 7486, 8134
-304, -828, 8340, 6512
-442, -632, 8530, 5006
-460, -436, 8118, 3730
-480, -296, 7882, 2914
-540, -136, 8132, 2006
-556, 66, 8058, 1006
-510, 228, 7622, 238
-460, 320, 7404, -356
-430, 388, 7580, -1030
-426, 458, 7646, -1756
-428, 592, 7364, -2314
-374, 788, 7102, -2794
-274, 1030, 6716, -3148
-72, 1194, 6220, -3088
182, 1276, 6130, -3136
500, 1238, 6324, -3652
686, 1166, 6272, -4340
794, 1094, 6022, -4700
936, 1074, 6056, -5166
1070, 1048, 6006, -5892
1156, 982, 5628, -6710
1286, 906, 5176, -7488
1592, 906, 4820, -8272
1942, 754, 4326, -9116
2140, 496, 3652, -9920
2254, 280, 2702, -10870
2288, 124, 1262, -11530
2354, -134, -550, -11640
2420, -492, -2540, -11400
2362, -766, -4470, -10842
2292, -1038, -6336, -10198
2258, -1278, -8494, -9458
2156, -1498, -10576, -8420
1952, -1652, -12420, -6864
1698, -1838, -14324, -4602
1398, -1978, -15998, -1886
1060, -2044, -16384, 1206
670, -1938, -16384, 4314
440, -1654, -16384, 7062
412, -1518, -16384, 9990
316, -1508, -15784, 13232
216, -1396, -13902, 16088
134, -1288, -11380, 16382
218, -1192, -8618, 16382
230, -1246, -5662, 16382
134, -1258, -2338, 16382
58, -1230, 1258, 16382
10, -1242, 4652, 16382
-56, -1256, 7850, 16382
-224, -1244, 11122, 14100
-290, -1184, 13380, 10730
-430, -1142, 14654, 7590
-736, -1056, 15696, 4872
-996, -864, 16382, 2258
-1176, -634, 16382, -208
-1264, -352, 16152, -2180
-1376, -40, 15898, -4050
-1346, 366, 15048, -6042
-1048, 626, 13248, -7572
-752, 730, 11274, -8800
-510, 784, 9348, -9500
-380, 776, 7884, -9868
-318, 842, 6612, -9906
-176, 936, 5582, -9566
-68, 988, 5016, -9348
68, 1058, 4470, -9384
326, 1060, 3444, -9476
596, 974, 2284, -9452
736, 854, 1564, -9418
798, 826, 890, -9206
928, 886, 244, -8878
1148, 854, -366, -8600
1388, 688, -1076, -8500
1646, 480, -1946, -8526
1818, 206, -2808, -8366
1908, -8, -3616, -8384
2004, -200, -4756, -8568
2094, -440, -5960, -8160
2106, -778, -7186, -7376
1986, -1072, -8316, -6540
1774, -1298, -9398, -5712
1572, -1376, -10618, -4516
1506, -1484, -11940, -3300
1428, -1752, -13426, -1916
1180, -1938, -14430, -156
882, -1868, -15064, 1724
690, -1724, -15330, 3842
568, -1720, -15418, 6260
364, -1798, -15254, 9022
116, -1720, -14456, 11500
36, -1674, -13338, 13580
-70, -1664, -11960, 15514
-230, -1586, -10084, 16382
-218, -1494, -8014, 16382
-270, -1568, -5140, 16382
-556, -1606, -1808, 16382
-804, -1394, 1698, 16382
-912, -1146, 5160, 16382
-888, -962, 8816, 16382
-866, -882, 12432, 16298
-860, -828, 15408, 13416
-872, -778, 16382, 10252
-912, -798, 16382, 6908
-1032, -798, 16382, 3258
-1182, -704, 16382, -242
-1358, -576, 16382, -3362
-1492, -302, 16382, -6218
-1504, -2, 16382, -9116
-1554, 306, 16382, -11872
-1486, 620, 16382, -14758
-1436, 802, 14858, -16384
-1386, 990, 11800, -16384
-1278, 1266, 8440, -16384
-954, 1526, 5408, -16384
-612, 1648, 2680, -16384
-246, 1710, 434, -16384
222, 1666, -1998, -16360
606, 1490, -4574, -15104
