# === Measurement Header ===
# Radar Frequency: 13GHz
# Site Name: c
# Radar Angle: 
# Measurement ID: 1
# Polarization: 
# Timestamp: 2025-07-10T17:38:11.716127
# Device Number: 500230001
# Frontend Connected: 4262658049
# Firmware Version: 66821
# Firmware Revision: 129043
# Firmware Date: 420087783
# Min Frequency: 12500000
# Max Frequency: 14500000
# Signal Type: 3
# TX Channel Selection: 1
# RX Channel Selection: 15
# TX Power Setting: 15
# RX Power Setting: 0
# Ramp Init: 1000
# Ramp Time: 102400
# Ramp Reset: 27100
# Ramp Delay: 0
# Sensor temperature: {'FeSensor_1': 53, 'FeSensor_2': 99272, 'FeSensor_3': 17088, 'FeSensor_4': 1449}
# Radar Cube: 2
# Processing: 1
# Range Window Function: 2
# Min Range Bin: 0
# Max Range Bin: 1023
# Trigger Threshold: 90
# RX Channels: 15
# ==========================

# Comments: 
# ==========================

# Chirp Number: 1
# Timestamp: 2025-07-10T17:38:11.716178
-1228, 3252, -2438, -3550
-154, 3546, -4176, -1986
878, 3392, -5126, -72
1702, 2892, -5262, 1796
2302, 2232, -4744, 3394
2630, 1554, -3780, 4492
2784, 950, -2646, 5060
2936, 330, -1506, 5432
3058, -312, -324, 5618
3002, -920, 894, 5400
2708, -1400, 1996, 4704
2254, -1788, 2948, 3650
1704, -2048, 3636, 2438
1106, -2154, 3876, 1280
556, -2074, 3832, 388
-82, -1900, 3870, -428
-772, -1626, 3994, -1364
-1518, -1112, 3980, -2684
-2022, -296, 3442, -4146
-2040, 626, 2170, -5154
-1642, 1430, 322, -5428
-1000, 1908, -1830, -4800
-204, 1952, -3662, -3314
432, 1646, -4704, -1388
720, 1260, -5044, 604
756, 984, -4774, 2446
598, 910, -4012, 3658
458, 1022, -3014, 4142
528, 1284, -2118, 4256
816, 1512, -1468, 4146
1224, 1528, -1046, 3898
1710, 1304, -778, 3940
2070, 918, -542, 4198
2196, 482, -216, 4394
2324, 80, 438, 4782
2392, -332, 1442, 5122
2366, -788, 2680, 4998
2082, -1164, 4000, 4296
1668, -1426, 5240, 3072
1156, -1560, 6336, 1446
606, -1492, 6980, -474
148, -1276, 7036, -2522
-156, -962, 6528, -4302
-276, -600, 5508, -5732
-350, -264, 4090, -6840
-392, 18, 2304, -7506
-308, 244, 276, -7668
-202, 390, -1956, -7114
-124, 520, -4130, -5780
2, 646, -6022, -3718
156, 728, -7274, -1242
334, 752, -7742, 1408
486, 826, -7510, 3842
632, 892, -6566, 5698
812, 914, -5158, 6778
1068, 878, -3594, 7262
1372, 764, -2028, 7384
1630, 514, -596, 7138
1744, 206, 588, 6742
1708, -120, 1520, 6382
1588, -370, 2478, 5984
1368, -566, 3580, 5472
1176, -694, 5040, 4768
910, -708, 6598, 3552
632, -620, 7542, 1908
360, -426, 7642, 166
228, -164, 7418, -1534
310, 166, 7244, -3248
550, 388, 6840, -4876
784, 428, 5968, -6120
1066, 338, 4702, -7238
1230, 148, 2956, -8038
1254, -84, 924, -7972
1246, -276, -1152, -7148
1256, -468, -3112, -5878
1164, -626, -4668, -4254
1028, -726, -5620, -2516
870, -774, -6118, -884
720, -730, -6162, 544
562, -684, -5916, 1798
438, -652, -5608, 2950
272, -584, -5194, 4016
82, -534, -4650, 5054
-64, -382, -3978, 6146
-184, -194, -2946, 7078
-226, 28, -1556, 7716
-208, 342, 58, 7898
-146, 632, 1706, 7358
12, 816, 3364, 6448
196, 976, 4922, 5188
474, 1130, 5988, 3640
842, 1208, 6764, 2048
1226, 1224, 7290, 524
1640, 1142, 7394, -902
2046, 928, 7116, -2116
2344, 576, 6572, -3156
2666, 170, 5952, -4130
2998, -424, 5230, -5086
3200, -1234, 4314, -5994
3060, -2186, 3072, -6690
2466, -2904, 1564, -6832
1440, -3148, -16, -6398
342, -2948, -1446, -5552
-586, -2426, -2494, -4474
-1248, -1732, -3092, -3404
-1586, -944, -3480, -2724
-1600, -246, -3968, -2312
-1336, 290, -4546, -1854
-912, 656, -5196, -1222
-462, 802, -6176, -94
-30, 790, -7056, 1630
278, 714, -7380, 3642
500, 538, -7040, 5720
574, 350, -5980, 7594
532, 256, -4242, 8992
430, 374, -2036, 9944
414, 626, 400, 10136
588, 858, 2734, 9322
930, 922, 4768, 7904
1366, 758, 6576, 6150
1782, 416, 8264, 4140
2014, 44, 9388, 1996
2096, -328, 10004, -252
2136, -658, 10148, -2478
2150, -906, 9700, -4320
2098, -1236, 8794, -5766
1928, -1564, 7582, -6766
1558, -1840, 6334, -7512
1052, -1988, 5038, -8232
466, -1982, 3628, -8916
14, -1826, 1892, -9742
-330, -1578, -438, -10682
-552, -1280, -3200, -10698
-616, -960, -5940, -9650
-628, -664, -8336, -7550
-630, -386, -10432, -4712
-498, -188, -11886, -1484
-386, -140, -12470, 1906
-332, -130, -12298, 5196
-370, -98, -11158, 7990
-506, 64, -9248, 10242
-600, 432, -6782, 12144
-432, 906, -3904, 13148
26, 1228, -986, 12970
638, 1268, 1782, 12080
1220, 972, 4356, 10758
1644, 488, 6748, 9036
1866, 6, 9050, 7022
1956, -506, 11074, 4656
1796, -978, 12368, 1994
1464, -1272, 13054, -794
1050, -1370, 13286, -3742
612, -1258, 12704, -6524
218, -990, 11326, -8950
108, -648, 9418, -10942
246, -372, 7038, -12658
504, -282, 4116, -13896
822, -412, 600, -14496
1026, -690, -3298, -14002
1054, -964, -6946, -12008
856, -1218, -10008, -8854
576, -1302, -12108, -5018
254, -1242, -13078, -932
48, -1106, -12938, 3002
42, -1044, -11554, 5924
44, -1076, -9256, 7476
-72, -1070, -6888, 8044
-280, -1038, -4880, 8280
-458, -1002, -3254, 8408
-588, -958, -1720, 8374
-796, -898, -222, 8176
-1130, -786, 1326, 7702
-1522, -410, 2808, 7012
-1712, 274, 4172, 6142
-1556, 982, 5330, 5008
-1058, 1524, 6262, 3652
-348, 1756, 7086, 2086
386, 1722, 7704, 372
990, 1492, 7790, -1340
1398, 1156, 7320, -2750
1716, 820, 6578, -3820
2018, 466, 5836, -4646
2314, 38, 5162, -5506
2562, -466, 4316, -6214
2664, -1070, 3194, -6618
2552, -1750, 1906, -6784
2198, -2416, 634, -6640
1508, -2902, -566, -6360
658, -3034, -1738, -6092
-184, -2884, -2936, -5760
-818, -2418, -4034, -5236
-1118, -1856, -5098, -4522
-1102, -1418, -6216, -3520
-1002, -1238, -7398, -2086
-992, -1242, -8408, -234
-1154, -1318, -8822, 1904
-1490, -1280, -8504, 3952
-1948, -982, -7486, 5662
-2384, -452, -6076, 6968
-2728, 304, -4556, 7882
-2738, 1144, -3010, 8344
-2318, 1906, -1424, 8530
-1652, 2464, 240, 8578
-904, 2638, 1838, 8178
-146, 2632, 3498, 7466
642, 2522, 5328, 6512
1484, 2258, 7164, 5180
2302, 1844, 8848, 3410
2966, 1198, 10062, 1316
3432, 260, 10976, -1178
3616, -762, 11198, -3848
3366, -1618, 10456, -6164
2842, -2210, 8986, -8006
2224, -2602, 7136, -9684
1668, -2904, 5012, -11182
1164, -3070, 2548, -11760
610, -3076, 2, -11494
38, -3060, -2656, -10894
-646, -3034, -5626, -10016
-1360, -2852, -8620, -8430
-2028, -2516, -11434, -5894
-2754, -2038, -13666, -2492
-3396, -1320, -14722, 1546
-3724, -362, -14154, 5512
-3576, 638, -12034, 8582
-3096, 1566, -9068, 10770
-2308, 2184, -5716, 11914
-1416, 2390, -2394, 11764
-612, 2254, 554, 10654
48, 1984, 3002, 9056
510, 1582, 4730, 7234
704, 1152, 5810, 5390
680, 770, 6242, 3764
416, 618, 6186, 2492
182, 874, 6108, 1668
222, 1406, 6296, 1188
660, 1834, 6628, 700
1454, 1946, 7062, -34
2542, 1602, 7858, -1310
