# === Measurement Header ===
# Radar Frequency: 13GHz
# Site Name: cewvwe
# Radar Angle: 
# Measurement ID: 1
# Polarization: 
# Timestamp: 2025-07-10T17:30:14.194995
# Device Number: 500230001
# Frontend Connected: 4262658049
# Firmware Version: 66821
# Firmware Revision: 129043
# Firmware Date: 420087783
# Min Frequency: 12500000
# Max Frequency: 14500000
# Signal Type: 3
# TX Channel Selection: 1
# RX Channel Selection: 15
# TX Power Setting: 15
# RX Power Setting: 0
# Ramp Init: 1000
# Ramp Time: 102400
# Ramp Reset: 27100
# Ramp Delay: 0
# Sensor temperature: {'FeSensor_1': 53, 'FeSensor_2': 101654, 'FeSensor_3': 17088, 'FeSensor_4': 1449}
# Radar Cube: 2
# Processing: 1
# Range Window Function: 2
# Min Range Bin: 0
# Max Range Bin: 1023
# Trigger Threshold: 90
# RX Channels: 15
# ==========================

# Comments: 
# ==========================

# Chirp Number: 1
# Timestamp: 2025-07-10T17:30:14.195033
-554, 3074, -3070, -3210
344, 2978, -4380, -1370
1082, 2542, -4960, 642
1574, 2042, -4774, 2412
1876, 1558, -4034, 3734
2114, 1172, -3090, 4576
2348, 848, -2088, 5094
2582, 460, -1044, 5362
2768, -42, 68, 5380
2790, -642, 1248, 5074
2592, -1214, 2502, 4404
2184, -1612, 3472, 3234
1666, -1782, 3882, 1912
1028, -1834, 3874, 742
432, -1796, 3792, -214
-220, -1680, 3742, -1060
-850, -1372, 3760, -2042
-1414, -780, 3582, -3250
-1720, -36, 2870, -4460
-1634, 770, 1398, -5360
-1266, 1466, -686, -5398
-666, 1832, -2702, -4368
24, 1810, -4124, -2582
600, 1468, -4926, -500
894, 1052, -4948, 1448
926, 750, -4348, 2884
744, 660, -3464, 3740
586, 774, -2578, 3996
588, 986, -1946, 4026
826, 1132, -1588, 4076
1116, 1120, -1286, 4206
1370, 970, -948, 4402
1594, 838, -404, 4562
1830, 664, 296, 4784
2054, 384, 1216, 4894
2234, 10, 2312, 4804
2276, -482, 3558, 4292
2144, -1082, 4784, 3332
1754, -1492, 5866, 1966
1158, -1658, 6568, 306
552, -1538, 6790, -1548
36, -1216, 6528, -3290
-308, -786, 5760, -4722
-448, -338, 4692, -6012
-404, 16, 3318, -6988
-276, 258, 1610, -7476
-126, 408, -378, -7382
28, 444, -2584, -6712
154, 524, -4946, -5276
256, 618, -6912, -3038
444, 716, -8054, -346
666, 756, -8208, 2400
828, 674, -7466, 4624
988, 566, -6166, 6302
1096, 462, -4604, 7264
1126, 322, -2972, 7540
1122, 176, -1358, 7474
1200, 12, 26, 7198
1238, -102, 1176, 6776
1204, -174, 2136, 6296
1100, -262, 3048, 5798
1010, -314, 4180, 5286
916, -296, 5534, 4436
744, -262, 6646, 3082
628, -184, 7578, 1300
532, -50, 8202, -782
474, 94, 8014, -2672
488, 210, 7328, -4230
648, 258, 6396, -5706
810, 240, 5118, -6836
930, 190, 3528, -7712
1084, 146, 1548, -8150
1184, 68, -636, -7796
1240, 4, -2690, -6644
1312, -54, -4264, -4930
1390, -126, -5162, -3064
1504, -310, -5480, -1356
1640, -662, -5562, 72
1576, -1040, -5374, 1190
1346, -1422, -5280, 2096
908, -1696, -5312, 3020
300, -1742, -5282, 4048
-316, -1490, -4980, 5114
-826, -1040, -4326, 6214
-1142, -418, -3218, 7260
-1240, 278, -1630, 8150
-1068, 858, 404, 8472
-728, 1292, 2550, 7966
-264, 1582, 4608, 6800
302, 1724, 6350, 5072
882, 1696, 7352, 3082
1398, 1470, 7738, 1224
1722, 1114, 7664, -406
1932, 766, 7242, -1788
1990, 526, 6606, -2924
2150, 368, 5968, -4012
2448, 160, 5250, -5002
2772, -184, 4366, -5600
3096, -854, 3346, -6170
3172, -1772, 2100, -6654
2758, -2678, 598, -6620
1858, -3222, -962, -5966
786, -3212, -2150, -4770
-214, -2788, -2782, -3474
-1052, -2116, -3072, -2512
-1496, -1274, -3172, -1978
-1568, -536, -3500, -1808
-1440, 32, -4212, -1640
-1134, 404, -5208, -1092
-780, 600, -6296, -32
-416, 686, -7212, 1722
-124, 698, -7724, 4098
120, 652, -7414, 6654
270, 564, -6094, 8554
318, 494, -4012, 9712
278, 642, -1496, 10140
336, 896, 1214, 9942
650, 1118, 3880, 9094
1178, 1146, 6212, 7666
1760, 880, 8180, 5736
2170, 396, 9634, 3422
2292, -130, 10274, 1014
2218, -582, 10278, -1294
2028, -852, 9740, -3312
1860, -1018, 8798, -4866
1694, -1190, 7718, -5988
1530, -1428, 6772, -6972
1266, -1650, 5810, -7974
