# === Measurement Header ===
# Radar Frequency: 13GHz
# Site Name: jcocdi
# Radar Angle: 
# Measurement ID: 1
# Polarization: 
# Timestamp: 2025-07-10T17:23:10.224958
# Device Number: 500230001
# Frontend Connected: 4262658049
# Firmware Version: 66821
# Firmware Revision: 129043
# Firmware Date: 420087783
# Min Frequency: 12500000
# Max Frequency: 14500000
# Signal Type: 3
# TX Channel Selection: 1
# RX Channel Selection: 15
# TX Power Setting: 15
# RX Power Setting: 0
# Ramp Init: 1000
# Ramp Time: 102400
# Ramp Reset: 27100
# Ramp Delay: 0
# Sensor temperature: {'FeSensor_1': 53, 'FeSensor_2': 103174, 'FeSensor_3': 17024, 'FeSensor_4': 1443}
# Radar Cube: 2
# Processing: 1
# Range Window Function: 2
# Min Range Bin: 0
# Max Range Bin: 1023
# Trigger Threshold: 90
# RX Channels: 15
# ==========================

# Comments: 
# ==========================

# Chirp Number: 1
# Timestamp: 2025-07-10T17:23:10.224996
-1712, 3510, -1664, -4154
-572, 3744, -3348, -2818
574, 3432, -4366, -1066
1518, 2838, -4736, 832
2134, 2126, -4536, 2536
2498, 1438, -3920, 3812
2684, 936, -3062, 4632
2768, 534, -2150, 5134
2828, 78, -1208, 5474
2762, -378, -124, 5502
2604, -854, 1104, 5194
2290, -1222, 2260, 4404
1876, -1470, 3148, 3280
1484, -1642, 3748, 2068
1086, -1864, 4152, 906
630, -2014, 4354, -116
28, -2048, 4470, -1144
-696, -1846, 4376, -2344
-1392, -1278, 3876, -3696
-1890, -472, 2770, -4816
-2064, 420, 1028, -5444
-1848, 1268, -1102, -5292
-1296, 1784, -3090, -4104
-660, 1998, -4600, -2240
-94, 1948, -5300, -120
232, 1772, -5142, 1814
452, 1580, -4342, 3164
646, 1564, -3294, 3894
854, 1622, -2336, 4132
1168, 1614, -1582, 4024
1538, 1478, -1146, 3868
1888, 1176, -902, 3800
2164, 810, -736, 3960
2318, 394, -480, 4306
2412, 10, 60, 4872
2458, -384, 1022, 5432
2342, -746, 2206, 5478
2078, -1070, 3496, 4898
1716, -1318, 4868, 3788
1264, -1470, 6000, 2240
800, -1510, 6798, 356
