# === Measurement Header ===
# Radar Frequency: 13GHz
# Site Name: olalal
# Radar Angle: 
# Measurement ID: 1
# Polarization: 
# Timestamp: 2025-07-10T17:04:05.927178
# Device Number: 500230001
# Frontend Connected: 4262658049
# Firmware Version: 66821
# Firmware Revision: 129043
# Firmware Date: 420087783
# Min Frequency: 12500000
# Max Frequency: 14500000
# Signal Type: 3
# TX Channel Selection: 1
# RX Channel Selection: 15
# TX Power Setting: 15
# RX Power Setting: 0
# Ramp Init: 1000
# Ramp Time: 102400
# Ramp Reset: 27100
# Ramp Delay: 0
# Sensor temperature: {'FeSensor_1': 52, 'FeSensor_2': 100927, 'FeSensor_3': 17152, 'FeSensor_4': 1455}
# Radar Cube: 2
# Processing: 1
# Range Window Function: 2
# Min Range Bin: 0
# Max Range Bin: 1023
# Trigger Threshold: 90
# RX Channels: 15
# ==========================

# Comments: 
# ==========================

# Chirp Number: 1
# Timestamp: 2025-07-10T17:04:05.927235
-2616, 1864, -82, -4642
-1896, 2792, -2034, -3848
-950, 3212, -3564, -2404
18, 3240, -4482, -740
872, 2920, -4726, 890
1548, 2452, -4484, 2258
2036, 1980, -3988, 3312
2394, 1434, -3380, 4140
2652, 862, -2582, 4888
2812, 292, -1572, 5392
2738, -242, -436, 5538
2602, -700, 898, 5416
2390, -1066, 2144, 4762
2072, -1348, 2922, 3718
1630, -1582, 3370, 2648
1126, -1764, 3718, 1622
530, -1852, 4018, 594
-140, -1718, 4246, -564
-806, -1332, 4288, -1906
-1350, -710, 3888, -3272
-1590, 104, 2988, -4416
-1432, 894, 1530, -5020
-954, 1418, -240, -4838
-290, 1614, -1992, -3944
312, 1398, -3288, -2476
626, 1074, -3916, -880
730, 746, -4000, 596
620, 582, -3726, 1708
460, 606, -3308, 2390
364, 770, -2868, 2874
498, 1028, -2552, 3350
802, 1164, -2232, 3892
1116, 1082, -1822, 4270
1362, 952, -1324, 4494
1570, 756, -740, 4698
1720, 496, -18, 4886
1890, 166, 898, 4968
1982, -254, 2018, 4804
1900, -640, 3108, 4242
1570, -944, 3996, 3352
1136, -1096, 4886, 2254
690, -1058, 5592, 976
338, -868, 6000, -452
126, -608, 6130, -2002
-22, -342, 5818, -3380
-74, -88, 5132, -4638
-24, 150, 4056, -5770
76, 380, 2496, -6584
196, 570, 604, -6892
420, 694, -1636, -6512
692, 666, -3770, -5288
926, 484, -5272, -3434
1088, 250, -6222, -1298
1068, 74, -6712, 882
906, -4, -6474, 2712
756, 0, -5760, 4136
748, 90, -4898, 5436
870, 146, -3850, 6410
938, 64, -2642, 6830
942, -60, -1342, 6990
898, -122, -28, 6998
886, -124, 1420, 6922
918, -118, 3050, 6492
896, -182, 4608, 5516
872, -256, 5740, 4062
776, -286, 6282, 2338
598, -294, 6554, 678
398, -158, 6670, -820
256, -2, 6514, -2126
190, 168, 6092, -3244
234, 382, 5432, -4352
354, 548, 4376, -5146
550, 664, 3030, -5624
796, 736, 1504, -5824
1084, 756, -10, -5508
1386, 684, -1314, -4688
1702, 474, -2116, -3674
2010, 176, -2608, -2802
2196, -238, -2940, -2050
2170, -684, -3206, -1422
2034, -1156, -3586, -796
1732, -1562, -4094, -38
1272, -1794, -4574, 980
736, -1882, -4952, 2296
134, -1770, -4904, 3736
-400, -1434, -4378, 5146
-780, -948, -3316, 6240
-940, -396, -1880, 6812
-894, 94, -250, 6828
-696, 432, 1380, 6286
-486, 686, 2702, 5334
-272, 862, 3710, 4278
-108, 1024, 4466, 3320
50, 1172, 4996, 2402
314, 1376, 5540, 1420
714, 1568, 5930, 374
1158, 1630, 5996, -698
1752, 1554, 5904, -1796
2408, 1208, 5480, -2854
2986, 626, 4756, -3706
3358, -186, 3858, -4268
3378, -1158, 2824, -4596
2966, -2046, 1856, -4622
2212, -2574, 1110, -4410
1360, -2684, 672, -4108
540, -2420, 400, -3968
0, -1956, 70, -4058
-270, -1474, -544, -4276
-384, -1070, -1666, -4512
-354, -770, -3178, -4406
-280, -628, -4856, -3678
-244, -534, -6598, -2194
-190, -478, -7728, -244
-256, -442, -8086, 2092
-450, -330, -7846, 4390
-654, -90, -6956, 6564
-832, 360, -5558, 8350
-760, 838, -3682, 9364
-396, 1232, -1524, 9778
194, 1416, 820, 9628
828, 1318, 3242, 8874
1336, 1058, 5420, 7578
1704, 710, 7224, 5856
1950, 352, 8502, 3852
2034, 40, 9280, 1828
2048, -218, 9520, -92
2028, -526, 9524, -1952
2000, -876, 9540, -3772
1842, -1206, 9220, -5482
1570, -1440, 8572, -7214
1246, -1566, 7486, -8870
946, -1610, 5832, -10408
694, -1554, 3638, -11460
490, -1522, 994, -11872
294, -1440, -1982, -11542
66, -1318, -5032, -10450
-116, -1170, -7992, -8648
-276, -1022, -10664, -6072
-396, -960, -12634, -2832
-576, -902, -13624, 876
-816, -664, -13274, 4482
-994, -232, -11822, 7468
-996, 314, -9860, 10034
-714, 902, -7526, 12082
-148, 1164, -4832, 13030
510, 1090, -1976, 12874
986, 708, 838, 12008
1280, 252, 3590, 10772
1392, -198, 6084, 9230
1324, -572, 8336, 7512
1120, -780, 10230, 5552
886, -822, 11762, 3242
644, -782, 12816, 654
418, -716, 13464, -2248
266, -602, 13446, -5238
216, -364, 12540, -7970
234, -200, 10804, -10408
356, -60, 8440, -12600
558, 8, 5320, -14146
806, -50, 1620, -14760
1060, -254, -2556, -14380
1230, -548, -6886, -12756
1248, -780, -10458, -9626
1188, -924, -12440, -5600
1096, -1088, -12862, -1564
996, -1344, -12314, 2024
844, -1710, -11150, 4828
464, -1960, -9572, 6770
2, -1992, -7790, 7936
-396, -1826, -5892, 8614
-752, -1538, -3846, 8860
-984, -1204, -1856, 8464
-1152, -868, -106, 7736
-1386, -488, 1354, 6990
-1464, -38, 2586, 6240
-1376, 380, 3700, 5436
-1114, 680, 4602, 4490
-770, 858, 5476, 3452
-502, 936, 6130, 2328
-294, 964, 6476, 1276
-40, 1030, 6476, 298
